id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,83465.0,1658555265780,1,1658556603018,27362284595,83757.0,81362.0,646.65,0.7808,15639836091.0,0.95196,19844546.0,19844562.0,21000000.0,108786.0,-23.16359,2025-01-20T09:11:54.494Z,67.81,123168.15053,2013-07-06T00:00:00.000Z,,2025-03-31T15:43:35.891Z,0.4178877475763877,0.7808026063329434,-5.102215246033199
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1840.38,222174198283,2,222174198283,17072185125,1848.44,1782.69,25.43,1.4011,3087532459.0,1.40927,120657000.5417528,120657000.5417528,,4878.26,-62.24891,2021-11-10T14:24:19.604Z,0.432979,425231.68394,2015-10-20T00:00:00.000Z,"{'times': 28.463908399920275, 'currency': 'btc', 'percentage': 2846.3908399920274}",2025-03-31T15:43:38.532Z,0.43018767092894256,1.401102596638488,-11.548043418067373
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999937,143929256822,3,143929256822,25516717114,0.999988,0.999605,0.00021473,0.02148,-212113635.44992065,-0.14716,143937546292.6551,143937546292.6551,,1.32,-24.42401,2018-07-24T00:00:00.000Z,0.572521,74.65602,2015-03-02T00:00:00.000Z,,2025-03-31T15:43:40.741Z,0.00901768538334265,0.021479423126161575,-0.010928052483770443
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.13,123918269001,4,212867988649,4480769620,2.17,2.04,-0.017803616404220346,-0.83063,-935554284.941864,-0.74932,58205697378.0,99986304107.0,100000000000.0,3.4,-37.34558,2018-01-07T00:00:00.000Z,0.00268621,79167.14205,2014-05-22T00:00:00.000Z,,2025-03-31T15:43:36.991Z,0.9531755489188665,-0.8306292240248323,-13.956959233806765
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,603.45,88132275296,5,88132275296,942764381,606.82,588.42,0.085118,0.01411,103966134.0,0.11811,145887575.79,145887575.79,200000000.0,788.84,-23.43407,2024-12-04T10:35:25.220Z,0.0398177,1516776.89898,2017-10-19T00:00:00.000Z,,2025-03-31T15:43:44.797Z,0.06838820566145845,0.01410733175422302,-3.8387525176127006
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,127.2,65244289597,6,76082077901,3346525109,127.5,122.95,2.21,1.76625,1203076753.0,1.8786,512289792.920275,597386716.5007367,,293.31,-56.56506,2025-01-19T11:15:27.957Z,0.500801,25339.21357,2020-05-11T19:35:23.449Z,,2025-03-31T15:43:37.348Z,0.6023160270045079,1.7662459984478593,-10.811825758993683
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999893,60073569154,7,60093790464,6555576804,1.0,0.999751,-1.824603626965e-06,-0.00018,-161352465.93457794,-0.26787,60079984367.79299,60100207836.66495,,1.17,-14.73625,2019-05-08T00:40:28.300Z,0.877647,13.92891,2023-03-11T08:02:13.981Z,,2025-03-31T15:43:41.464Z,0.00018031046396532155,-0.00018247956201032013,0.010054637854701952
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.167316,24893076313,8,24893223671,1377201951,0.170773,0.160867,-0.001532054621108725,-0.90735,-229971517.67941284,-0.91538,148658136383.7052,148659016383.7052,,0.731578,-77.10823,2021-05-08T05:08:23.458Z,8.69e-05,192608.75114,2015-05-06T00:00:00.000Z,,2025-03-31T15:43:38.383Z,1.2150323506800766,-0.9073546860195508,-7.87497462172065
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.658112,23725175629,9,29666215036,704404914,0.673973,0.632468,-0.012738390325012672,-1.89884,-411388456.2463951,-1.70442,35988173820.26504,45000000000.0,45000000000.0,3.09,-78.6433,2021-09-02T06:00:10.474Z,0.01925275,3324.25036,2020-03-13T02:22:55.044Z,,2025-03-31T15:43:44.907Z,0.8354555257277607,-1.898842421695775,-10.097130684765922
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.23712,22538314931,10,22538318429,531846358,0.237977,0.230125,0.00672898,2.92068,656290605.0,2.99922,94992256228.32652,94992270971.6679,,0.431288,-44.98892,2024-12-04T00:10:40.323Z,0.00180434,13049.19454,2017-11-12T00:00:00.000Z,"{'times': 123.79994070312026, 'currency': 'usd', 'percentage': 12379.994070312026}",2025-03-31T15:43:45.286Z,0.24958632746982767,2.920680386672823,3.425346500740904
