id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,85488.0,1694372157957,1,1694374036282,26775833475,85438.0,82649.0,1822.27,2.17804,37253352177.0,2.24808,19845443.0,19845465.0,21000000.0,108786.0,-21.43908,2025-01-20T09:11:54.494Z,67.81,125934.76648,2013-07-06T00:00:00.000Z,,2025-04-02T13:45:41.479Z,0.6305899163447135,2.1780372284052736,-2.628087565645624
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1874.48,226042971569,2,226042971569,14847222531,1923.93,1846.36,1.57,0.08378,655050651.0,0.29063,120661946.5561551,120661946.5561551,,4878.26,-61.5382,2021-11-10T14:24:19.604Z,0.432979,433239.07203,2015-10-20T00:00:00.000Z,"{'times': 28.34456943587804, 'currency': 'btc', 'percentage': 2834.456943587804}",2025-04-02T13:45:35.439Z,0.3628037491359176,0.0837811721249843,-9.236756407968098
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999949,144026880484,3,144026880484,38188341139,1.0,0.999687,0.00016667,0.01667,62324390.0,0.04329,144034280963.4801,144034280963.4801,,1.32,-24.42397,2018-07-24T00:00:00.000Z,0.572521,74.65611,2015-03-02T00:00:00.000Z,,2025-04-02T13:45:34.308Z,0.0011239639483496366,0.016670998745006795,-0.012906413063233315
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.12,123281341341,4,211773868217,3157682123,2.18,2.07,-0.027387124595060097,-1.27582,-1377340545.007965,-1.10489,58205697378.0,99986304107.0,100000000000.0,3.4,-37.51698,2018-01-07T00:00:00.000Z,0.00268621,78950.28908,2014-05-22T00:00:00.000Z,,2025-04-02T13:45:39.130Z,0.12758616335552544,-1.2758153829488235,-13.547869837321599
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,603.9,88051048450,5,88051048450,1631779490,620.34,596.94,-11.207482991072197,-1.82203,-1556432774.6963654,-1.73695,145887575.79,145887575.79,200000000.0,788.84,-23.40689,2024-12-04T10:35:25.220Z,0.0398177,1517315.32945,2017-10-19T00:00:00.000Z,,2025-04-02T13:45:41.477Z,0.4608478220089517,-1.8220286765339335,-4.161384868871939
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,126.65,64796448799,6,75547136369,3249181535,129.56,123.71,-1.0419572113885494,-0.81598,-628844272.6497345,-0.96116,512504173.759058,597536183.2681465,,293.31,-56.83666,2025-01-19T11:15:27.957Z,0.500801,25180.13968,2020-05-11T19:35:23.449Z,,2025-04-02T13:45:42.426Z,0.6322321084418753,-0.8159759956705043,-12.566749905350674
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999989,60125698555,7,60127798813,6875117259,1.0,0.999797,4.82e-06,0.00048,28746474.0,0.04783,60126383766.89937,60128484049.27346,,1.17,-14.72806,2019-05-08T00:40:28.300Z,0.877647,13.93986,2023-03-11T08:02:13.981Z,,2025-04-02T13:45:34.344Z,0.0006494697875866973,0.0004824634482440838,0.018987693302009105
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.171928,25565439913,8,25567419137,1143919603,0.174867,0.167861,0.00098489,0.57615,137521100.0,0.54083,148673556383.7052,148685066383.7052,,0.731578,-76.4697,2021-05-08T05:08:23.458Z,8.69e-05,197984.1201,2015-05-06T00:00:00.000Z,,2025-04-02T13:45:33.947Z,0.16274537836514785,0.5761516037860789,-15.516528820409944
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.684372,24607867838,9,30769942877,643081874,0.691842,0.663958,0.00754318,1.11449,228578869.0,0.93759,35988173820.26504,45000000000.0,45000000000.0,3.09,-77.84291,2021-09-02T06:00:10.474Z,0.01925275,3452.58159,2020-03-13T02:22:55.044Z,,2025-04-02T13:45:42.079Z,0.33499789731805246,1.1144884735401472,-10.886265605188981
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.237728,22616285370,10,22616299129,598195627,0.239616,0.23391,0.00196785,0.83468,191388388.0,0.85346,94986968685.33496,94987026474.15012,,0.431288,-44.71853,2024-12-04T00:10:40.323Z,0.00180434,13113.8249,2017-11-12T00:00:00.000Z,"{'times': 124.11991968084274, 'currency': 'usd', 'percentage': 12411.991968084274}",2025-04-02T13:45:32.784Z,0.20050444082080265,0.834684474927495,3.3111446505410362
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,1871.78,17533449235,11,17533449235,24492848,1920.21,1845.84,-2.342602984790574,-0.125,-37107589.5476532,-0.21119,9376344.511392472,9376809.567120485,,4829.57,-61.28248,2021-11-10T14:40:47.256Z,482.9,287.22398,2020-12-22T04:08:21.854Z,,2025-04-02T13:45:40.340Z,0.46728178224351513,-0.12499755550205624,-9.132911752310962
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,85342.0,10980224300,12,10980224300,179013902,85420.0,82625.0,1772.0,2.12038,201696961.0,1.87128,128915.05657878,128915.05657878,128915.05657878,108368.0,-21.33986,2025-01-20T07:16:27.137Z,3139.17,2615.4384,2019-04-02T00:00:00.000Z,,2025-04-02T13:45:34.383Z,0.6445599187343773,2.120382770070744,-2.6413605105981164
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,4.03,9946751605,13,20712710888,231264639,4.11,3.97,-0.03692624510984466,-0.90734,-52132727.992486954,-0.52139,2461736746.364051,5126220452.214116,,8.25,-51.06119,2024-06-15T00:36:51.509Z,0.519364,677.72401,2021-09-21T00:33:11.092Z,,2025-04-02T13:45:32.353Z,-0.1418089341298856,-0.9073417291528437,11.69740661873966
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.44,8706431124,14,9285336363,4304527,9.46,9.21,0.116625,1.25082,94426604.0,1.09645,923813585.9,985239504.0,,10.14,-6.97296,2025-03-10T09:26:43.294Z,0.799859,1078.75659,2019-12-24T15:14:35.376Z,,2025-04-02T13:45:35.600Z,-0.14094842218127696,1.2508231147739195,-3.791389989454875
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.54,8641316083,15,13542260570,523410186,14.36,13.36,-0.5024898021817776,-3.57811,-289314189.4163494,-3.23957,638099971.4505637,1000000000.0,1000000000.0,52.7,-74.27224,2021-05-10T00:13:57.214Z,0.148183,9049.25429,2017-11-29T00:00:00.000Z,,2025-04-02T13:45:41.962Z,0.1562268560622624,-3.5781062091454743,-14.515210422555636
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.268587,8251617316,16,13406064449,172183635,0.278781,0.264261,-0.005486470693849055,-2.00183,-170728693.99407673,-2.02709,30776788529.02521,50001786892.81792,50001786892.81792,0.875563,-69.23881,2018-01-03T00:00:00.000Z,0.00047612,56468.03169,2015-03-05T00:00:00.000Z,,2025-04-02T13:45:41.394Z,0.09184013739651001,-2.001826704142062,-9.446587090347263
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2239.21,8059979587,17,8059979587,26484827,2301.47,2219.25,1.8,0.08062,4006116.0,0.04973,3594973.39887684,3594973.39887684,,7256.02,-69.10309,2022-05-13T15:09:54.509Z,558.54,301.3832,2022-05-13T01:36:45.053Z,,2025-04-02T13:45:33.724Z,0.2121802485740717,0.08061606315105156,-9.565838784309584
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,1.0,8009253434,18,8009253434,13491325,1.001,0.998778,-0.000185890799635935,-0.01859,-9938062.838866234,-0.12393,8009527371.366047,8009527371.366047,,1.057,-5.42445,2024-10-29T05:40:51.197Z,0.948265,5.45239,2024-10-03T13:19:28.826Z,,2025-04-02T13:45:32.067Z,0.00040561672194300736,-0.018585202793351158,0.011841526943365557
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.45,7962201186,19,24499209472,1095611465,2.5,2.32,0.03349692,1.38564,109438478.0,1.39363,3249982900.458887,10000000000.0,10000000000.0,5.35,-54.18838,2025-01-04T22:56:18.063Z,0.364846,571.3372,2023-10-19T10:40:30.078Z,,2025-04-02T13:45:32.298Z,0.048221544284178415,1.3856359366979116,-6.080891708228474
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,19.19,7954770774,20,8657849643,311355004,19.9,18.85,-0.22457795840875505,-1.15697,-102058618.0411663,-1.26673,414885920.2282921,451555427.3607297,720000000.0,144.96,-86.77401,2021-11-21T14:18:56.538Z,2.8,584.47395,2020-12-31T13:15:21.540Z,,2025-04-02T13:45:40.554Z,0.3655308936342724,-1.1569717895073786,-15.380916318123642
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.246e-05,7334497467,21,7337659392,243577113,1.313e-05,1.215e-05,-3.47619412679e-07,-2.71397,-195082162.334877,-2.59088,589250690008981.8,589504717866771.0,,8.616e-05,-85.55427,2021-10-28T03:54:55.568Z,5.6366e-11,22080908.38273,2020-11-28T11:26:25.838Z,,2025-04-02T13:45:39.820Z,0.6918798666548956,-2.7139729303078903,-18.62072653878293
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.16728,7047903552,22,8346635748,193604022,0.175394,0.162578,-0.003082142989631109,-1.80917,-117256416.84967136,-1.63648,42220025920.61083,50000000000.0,50000000000.0,0.569229,-70.64315,2021-09-15T10:40:28.318Z,0.00986111,1594.6133,2020-01-02T17:30:24.852Z,,2025-04-02T13:45:34.986Z,0.6167459994665492,-1.809169582422615,-15.998207588883806
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,83.18,6292682116,23,6292730432,401800181,85.85,81.45,-1.421649164620618,-1.68044,-110088293.00030231,-1.71939,75701039.48347135,75701620.73347135,84000000.0,410.26,-79.70641,2021-05-10T03:13:07.904Z,1.15,7146.98615,2015-01-14T00:00:00.000Z,,2025-04-02T13:45:37.720Z,0.462684258477389,-1.6804399859092802,-13.276356484889284
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.1,6241658112,24,6241658112,162255373,4.27,4.02,-0.09783247823622432,-2.32899,-150653858.43835545,-2.3568,1522267060.0,1522267060.0,,54.98,-92.54306,2021-11-04T14:10:09.301Z,2.7,51.99112,2020-08-20T05:48:11.359Z,,2025-04-02T13:45:39.576Z,0.810848612686707,-2.3289872883855836,-13.484261629729652
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,6.31,6085111877,25,11438324399,73034115,6.39,6.13,0.04947109,0.79014,-102971522.2049017,-1.66403,965284685.6499999,1814467769.11,,8.99,-29.8053,2025-02-23T01:52:21.073Z,0.01726188,36438.60809,2023-10-12T17:25:09.068Z,,2025-04-02T13:45:37.738Z,0.13005332870158626,0.7901364308653593,-5.6239613093979415
